config,benchmark,workload,nodes,total_ops,record_count,runtime_ms,throughput_mops,reads,writes,cache_hits,cache_misses,admissions,rejections,switches,wi,si,adaptive,precise_inv,range_inv,owner_biased,handoffs,merged,batches,bytes
adaptive_mode_batch_threshold_1_A,ycsb_mixed,A,4,20000,4096,77.254,0.259,10062,14034,0,10062,0,10062,4855,19126,0,4970,0,0,0,0,0,14034,1207584
adaptive_mode_batch_threshold_2_A,ycsb_mixed,A,4,20000,4096,77.376,0.258,10062,14034,0,10062,0,10062,4855,19126,0,4970,0,0,0,0,0,14034,1207584
adaptive_mode_batch_threshold_4_A,ycsb_mixed,A,4,20000,4096,78.742,0.254,10062,14034,0,10062,0,10062,4855,19126,0,4970,0,0,0,0,0,14034,1207584
cache_admission_min_reads_1_A,ycsb_mixed,A,4,20000,4096,75.223,0.266,10062,14034,0,10062,0,10062,4855,19126,0,4970,0,0,0,0,0,14034,1207584
cache_admission_min_reads_2_A,ycsb_mixed,A,4,20000,4096,76.354,0.262,10062,14034,0,10062,0,10062,4855,19126,0,4970,0,0,0,0,0,14034,1207584
cache_admission_min_reads_4_A,ycsb_mixed,A,4,20000,4096,77.558,0.258,10062,14034,0,10062,0,10062,4855,19126,0,4970,0,0,0,0,0,14034,1207584
profiling_window_size_16_A,ycsb_mixed,A,4,20000,4096,75.222,0.266,10062,14034,0,10062,0,10062,4781,19203,0,4893,0,1,1,1,0,14034,1207584
profiling_window_size_4_A,ycsb_mixed,A,4,20000,4096,74.907,0.267,10062,14034,0,10062,0,10062,4907,19079,0,5017,0,0,0,0,0,14034,1207584
profiling_window_size_8_A,ycsb_mixed,A,4,20000,4096,77.054,0.260,10062,14034,0,10062,0,10062,4855,19126,0,4970,0,0,0,0,0,14034,1207584
remote_write_batch_threshold_1_A,ycsb_mixed,A,4,20000,4096,77.443,0.258,10062,14034,0,10062,0,10062,4855,19126,0,4970,0,0,0,0,0,14034,1207584
remote_write_batch_threshold_2_A,ycsb_mixed,A,4,20000,4096,78.258,0.256,10062,14034,0,10062,0,10062,4855,19126,0,4970,0,0,0,0,0,14034,1207584
remote_write_batch_threshold_4_A,ycsb_mixed,A,4,20000,4096,77.577,0.258,10062,14034,0,10062,0,10062,4855,19126,0,4970,0,0,0,0,0,14034,1207584
