config,benchmark,node,nodes,reads,writes,cache_hits,cache_misses,admissions,rejections,switches,wi,si,adaptive,precise_inv,range_inv,owner_biased,handoffs,merged,batches,bytes,points,clusters,dims,iterations,runtime_ms,vertices,out_degree,workload,total_ops,record_count,throughput_mops
ablation_no_batching,iterative_analytics,0,4,81,45,18,63,3,60,3,0,0,126,3,0,0,0,0,0,0,,,,,,,,,,,
ablation_no_batching_iterative,iterative_analytics,0,4,81,45,18,63,3,60,3,0,0,126,3,0,0,0,0,0,0,,,,,,,,,,,
ablation_no_batching_kmeans,kmeans,,4,16544,16584,0,16544,0,16544,3,0,0,33128,0,0,0,0,0,0,0,4096,8,4,4,58.501,,,,,,
ablation_no_batching_pagerank,pagerank,,4,49152,53248,0,49152,0,49152,64,0,0,102400,0,0,0,0,0,0,0,,,,4,192.468,2048,4,,,,
ablation_no_batching_ycsb_A,ycsb_mixed,,4,10062,14034,0,10062,0,10062,256,0,0,24096,0,0,0,0,0,0,0,,,,,45.363,,,A,20000,4096,0.441
ablation_no_batching_ycsb_B,ycsb_mixed,,4,19019,5077,0,19019,0,19019,256,0,0,24096,0,0,0,0,0,0,0,,,,,44.364,,,B,20000,4096,0.451
baseline_always_cache,iterative_analytics,0,4,81,45,78,3,3,0,3,0,0,126,45,0,45,45,0,45,360,,,,,,,,,,,
baseline_always_cache_iterative,iterative_analytics,0,4,81,45,78,3,3,0,3,0,0,126,45,0,45,3,0,45,360,,,,,,,,,,,
baseline_always_cache_kmeans,kmeans,,4,16544,16584,16544,0,0,0,3,0,0,33128,16544,0,16584,3,0,16584,1192448,4096,8,4,4,128.027,,,,,,
baseline_always_cache_pagerank,pagerank,,4,49152,53248,49152,0,0,0,64,0,0,102400,49152,0,53248,64,0,53248,425984,,,,4,358.613,2048,4,,,,
baseline_always_cache_ycsb_A,ycsb_mixed,,4,10062,14034,10062,0,0,0,256,0,0,24096,6509,0,14034,256,0,14034,1207584,,,,,75.493,,,A,20000,4096,0.265
baseline_always_cache_ycsb_B,ycsb_mixed,,4,19019,5077,19019,0,0,0,256,0,0,24096,164,0,5077,256,0,5077,1064272,,,,,39.285,,,B,20000,4096,0.509
baseline_fixed_si,iterative_analytics,0,4,81,45,69,12,12,0,3,0,126,0,9,0,0,0,36,9,72,,,,,,,,,,,
baseline_fixed_si_iterative,iterative_analytics,0,4,81,45,69,12,12,0,3,0,126,0,9,0,0,0,36,9,72,,,,,,,,,,,
baseline_fixed_si_kmeans,kmeans,,4,16544,16584,0,16544,16544,0,3,0,33128,0,16544,0,0,0,3024,6782,974720,4096,8,4,4,131.519,,,,,,
baseline_fixed_si_pagerank,pagerank,,4,49152,53248,0,49152,49152,0,64,0,102400,0,49152,0,0,0,24,26612,425792,,,,4,1120.088,2048,4,,,,
baseline_fixed_si_ycsb_A,ycsb_mixed,,4,10062,14034,6618,3444,3444,0,256,0,24096,0,0,0,0,0,9,7014,1207440,,,,,198.992,,,A,20000,4096,0.101
baseline_fixed_si_ycsb_B,ycsb_mixed,,4,19019,5077,15094,3925,3925,0,256,0,24096,0,0,0,0,0,2,2539,1064240,,,,,215.219,,,B,20000,4096,0.093
baseline_fixed_wi,iterative_analytics,0,4,81,45,0,81,0,81,0,126,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
baseline_fixed_wi_iterative,iterative_analytics,0,4,81,45,0,81,0,81,0,126,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
baseline_fixed_wi_kmeans,kmeans,,4,16544,16584,0,16544,0,16544,0,33128,0,0,0,0,0,0,0,0,0,4096,8,4,4,74.925,,,,,,
baseline_fixed_wi_pagerank,pagerank,,4,49152,53248,0,49152,0,49152,0,102400,0,0,0,0,0,0,0,0,0,,,,4,242.250,2048,4,,,,
baseline_fixed_wi_ycsb_A,ycsb_mixed,,4,10062,14034,0,10062,0,10062,0,24096,0,0,0,0,0,0,0,0,0,,,,,55.462,,,A,20000,4096,0.361
baseline_fixed_wi_ycsb_B,ycsb_mixed,,4,19019,5077,0,19019,0,19019,0,24096,0,0,0,0,0,0,0,0,0,,,,,42.224,,,B,20000,4096,0.474
leomem_full_4node,iterative_analytics,0,4,81,45,18,63,3,60,21,54,3,69,0,3,0,0,0,45,360,,,,,,,,,,,
leomem_full_4node_iterative,iterative_analytics,0,4,81,45,18,63,3,60,21,54,3,69,0,3,0,0,0,45,360,,,,,,,,,,,
leomem_full_4node_kmeans,kmeans,,4,16544,16584,0,16544,0,16544,8,33108,0,20,0,0,0,0,0,16584,1192448,4096,8,4,4,122.993,,,,,,
leomem_full_4node_pagerank,pagerank,,4,49152,53248,0,49152,0,49152,256,94336,0,8064,0,0,0,0,0,53248,425984,,,,4,348.857,2048,4,,,,
leomem_full_4node_ycsb_A,ycsb_mixed,,4,10062,14034,0,10062,0,10062,4855,19126,0,4970,0,0,0,0,0,14034,1207584,,,,,78.498,,,A,20000,4096,0.255
leomem_full_4node_ycsb_B,ycsb_mixed,,4,19019,5077,0,19019,0,19019,1960,6269,0,17827,0,0,0,0,0,5077,1064272,,,,,46.733,,,B,20000,4096,0.428
